0.000000000000000000e+00,5.470000000000000000e+02,5.740000000000000000e+02,6.060000000000000000e+02,5.000000000000000000e+02,8.510000000000000000e+02,3.160000000000000000e+02,1.086000000000000000e+03,2.800000000000000000e+02,1.090000000000000000e+02
5.470000000000000000e+02,0.000000000000000000e+00,2.800000000000000000e+02,3.700000000000000000e+02,3.750000000000000000e+02,2.590000000000000000e+02,2.600000000000000000e+01,8.900000000000000000e+01,5.200000000000000000e+01,7.200000000000000000e+01
5.740000000000000000e+02,2.800000000000000000e+02,0.000000000000000000e+00,6.600000000000000000e+01,8.000000000000000000e+02,3.920000000000000000e+02,2.600000000000000000e+02,7.500000000000000000e+01,3.800000000000000000e+01,2.300000000000000000e+02
6.060000000000000000e+02,3.700000000000000000e+02,6.600000000000000000e+01,0.000000000000000000e+00,1.090000000000000000e+02,8.200000000000000000e+01,2.600000000000000000e+01,3.000000000000000000e+01,2.500000000000000000e+01,2.100000000000000000e+01
5.000000000000000000e+02,3.750000000000000000e+02,8.000000000000000000e+02,1.090000000000000000e+02,0.000000000000000000e+00,8.400000000000000000e+01,8.700000000000000000e+01,4.800000000000000000e+01,2.900000000000000000e+01,1.750000000000000000e+02
8.510000000000000000e+02,2.590000000000000000e+02,3.920000000000000000e+02,8.200000000000000000e+01,8.400000000000000000e+01,0.000000000000000000e+00,2.630000000000000000e+02,5.300000000000000000e+01,2.180000000000000000e+02,2.300000000000000000e+01
3.160000000000000000e+02,2.600000000000000000e+01,2.600000000000000000e+02,2.600000000000000000e+01,8.700000000000000000e+01,2.630000000000000000e+02,0.000000000000000000e+00,1.290000000000000000e+02,1.310000000000000000e+02,6.300000000000000000e+01
1.086000000000000000e+03,8.900000000000000000e+01,7.500000000000000000e+01,3.000000000000000000e+01,4.800000000000000000e+01,5.300000000000000000e+01,1.290000000000000000e+02,0.000000000000000000e+00,1.330000000000000000e+02,1.930000000000000000e+02
2.800000000000000000e+02,5.200000000000000000e+01,3.800000000000000000e+01,2.500000000000000000e+01,2.900000000000000000e+01,2.180000000000000000e+02,1.310000000000000000e+02,1.330000000000000000e+02,0.000000000000000000e+00,4.300000000000000000e+01
1.090000000000000000e+02,7.200000000000000000e+01,2.300000000000000000e+02,2.100000000000000000e+01,1.750000000000000000e+02,2.300000000000000000e+01,6.300000000000000000e+01,1.930000000000000000e+02,4.300000000000000000e+01,0.000000000000000000e+00
