id,gender
nm0504492,1
nm0938456,1
nm0237134,1
nm0943859,1
nm0201833,1
nm0940513,1
nm0001526,1
nm0593053,1
nm1228447,1
nm0034733,1
nm1414385,1
nm0001525,1
nm0605363,1
nm0000022,1
nm0425903,1
nm0019244,1
nm0306786,1
nm0912938,1
nm0901057,1
nm0001939,1
nm1375877,1
nm0319843,1
nm0183417,1
nm0925118,1
nm0505949,1
nm0860617,1
nm0177330,1
nm0489001,1
nm0000728,1
nm0284578,1
nm0056187,1
nm0001841,1
nm0597146,1
nm1902766,1
nm0441975,1
nm0792911,1
nm0000243,1
nm0565907,1
nm1065281,1
nm0707030,1
nm1365086,1
nm0017013,1
nm0329299,1
nm0085407,1
nm0596846,1
nm0919729,1
nm2002649,1
nm5724719,1
nm0440913,1
nm0715748,1
nm0347039,1
nm0122594,1
nm0531042,1
nm1925239,1
nm0162361,1
nm0468729,1
nm0443985,1
nm0377429,1
nm0788252,1
nm0281661,1
nm0002668,1
nm0652663,1
nm0934179,1
nm0945734,1
nm0739087,1
nm3929074,1
nm0078725,1
nm0037355,1
nm0001077,1
nm0821277,1
nm0001559,1
nm0000859,1
nm0108406,1
nm0003277,1
nm0923610,1
nm1002207,1
nm0210274,1
nm0212796,1
nm0436922,1
nm0733952,1
nm0190977,1
nm0212461,1
nm0194234,1
nm0751210,1
nm0651845,1
nm0363753,1
nm0031511,1
nm0001067,1
nm0358020,1
nm0000277,1
nm0893099,1
nm0941125,1
nm0765125,1
nm0002119,1
nm0644728,1
nm0130955,1
nm0001063,1
nm0620164,1
nm0191358,1
nm0416856,1
nm1832249,1
nm0400142,1
nm0001069,1
nm0567798,1
nm0001097,1
nm0001327,1
nm0152521,1
nm0301224,1
nm1144419,1
nm0001362,1
nm0000200,1
nm0871272,1
nm0007023,1
nm0518591,1
nm0500884,1
nm0506405,1
nm0147605,1
nm1241511,1
nm0382718,1
nm0640307,1
nm0362766,1
nm0070622,1
nm0001172,1
nm0728867,1
nm0789478,1
nm0079645,1
nm0241523,1
nm0762080,1
nm0621699,1
nm0072344,1
nm1854664,1
nm0061049,1
nm0416699,1
nm0822868,1
nm0712603,1
nm0308839,1
nm0523225,1
nm0000568,1
nm0487108,1
nm0888000,1
nm2567574,1
nm0615014,1
nm0901065,1
nm0359398,1
nm0940589,1
nm0355653,1
nm0054270,1
nm0911816,1
nm0855417,1
nm0000276,1
nm0081361,1
nm0307909,1
nm0627791,1
nm0356268,1
nm0569294,1
nm0715953,1
nm0503499,1
nm0828309,1
nm0812453,1
nm0000860,1
nm0135585,1
nm0950958,1
nm0334249,1
nm0841389,1
nm1894655,1
nm0041681,1
nm0820626,1
nm0334948,1
nm0671761,1
nm0514344,1
nm0000140,1
nm9665672,1
nm0871240,1
nm0000008,1
nm0001251,1
nm0731634,1
nm0001088,1
nm0545298,1
nm0791502,1
nm0469597,1
nm0641840,1
nm0156241,1
nm0887708,1
nm0001366,1
nm0001454,1
nm2577076,1
nm1727317,1
nm0166234,1
nm0001872,1
nm0831889,1
nm0931321,1
nm4583876,1
nm0921044,1
nm0173815,1
nm0070387,1
nm0537907,1
nm0298281,1
nm11243726,1
nm0071847,1
nm0166000,1
nm0624216,1
nm0628017,1
nm0004883,1
nm0411167,1
nm0742146,1
nm0761851,1
nm0897980,1
nm0001844,1
nm0440885,1
nm0440487,1
nm0196247,1
nm0693318,1
nm0445657,1
nm0059847,1
nm0744351,1
nm0578039,1
nm0793532,1
nm0117368,1
nm0334318,1
nm0457954,1
nm0654874,1
nm0468288,1
nm0242587,1
nm0866184,1
nm0268742,1
nm0230934,1
nm0728875,1
nm0026922,1
nm0803145,1
nm0722424,1
nm0001552,1
nm0750852,1
nm0534045,1
nm0003064,1
nm0002935,1
nm0876300,1
nm0922967,1
nm0025355,1
nm0065320,1
nm0001276,1
nm0048414,1
nm0325939,1
nm0001850,1
nm0005355,1
nm2588665,1
nm8624059,1
nm0394541,1
nm0460867,1
nm0929965,1
nm0235638,1
nm0904093,1
nm1910255,1
nm0125952,1
nm0569795,1
nm0070757,1
nm0277140,1
nm0930556,1
nm0137506,1
nm0522884,1
nm0047016,1
nm0089348,1
nm0879855,1
nm0847264,1
nm0034390,1
nm0000136,1
nm0793033,1
nm0888937,1
nm9985727,1
nm0411826,1
nm0588222,1
nm0002143,1
nm0022857,1
nm0395004,1
nm0813272,1
nm3638077,1
nm0676812,1
nm0911320,1
nm5384553,1
nm0175528,1
nm0871287,1
nm0004875,1
nm0628955,1
nm0531924,1
nm0470307,1
nm0255276,1
nm0000652,1
nm0570758,1
nm0682634,1
nm0530571,1
nm0363227,1
nm3057402,1
nm0825264,1
nm0949935,1
nm1249574,1
nm0740718,1
nm0595264,1
nm0917467,1
nm0125228,1
